X,Y
95.666,71.370
96.499,70.802
97.508,70.471
98.563,70.410
99.662,70.574
100.622,70.927
101.435,71.451
102.094,72.126
102.593,72.934
102.926,73.857
103.086,74.877
103.100,75.916
103.100,76.930
103.100,77.944
103.100,78.958
103.100,79.972
103.100,80.986
103.100,82.000
102.886,82.800
101.872,82.800
100.857,82.800
100.500,82.143
100.500,81.129
100.500,80.115
100.500,79.101
100.500,78.087
100.500,77.073
100.500,76.059
100.490,75.014
100.254,74.020
99.711,73.281
98.870,72.830
97.749,72.703
96.693,72.932
95.875,73.475
95.333,74.262
95.105,75.227
95.100,76.245
95.100,77.259
95.100,78.273
95.100,79.287
95.100,80.302
95.100,81.316
95.100,82.330
94.456,82.700
93.442,82.700
92.500,82.628
92.500,81.614
92.500,80.600
92.500,79.586
92.500,78.571
92.500,77.557
92.500,76.543
92.500,75.529
92.500,74.515
92.500,73.501
92.500,72.487
92.500,71.473
92.600,70.700
106.700,77.400
106.829,78.363
107.206,79.233
107.816,79.958
108.645,80.488
109.677,80.768
111.051,80.751
112.117,80.441
112.741,79.900
113.120,79.195
113.883,79.311
114.796,79.726
115.236,80.280
114.673,81.051
113.999,81.725
113.213,82.285
112.320,82.713
111.320,82.990
110.217,83.099
109.365,83.031
108.517,82.797
107.667,82.408
106.845,81.876
106.083,81.210
105.409,80.421
104.856,79.521
104.454,78.520
104.233,77.428
104.217,76.281
104.372,75.200
104.677,74.205
105.120,73.306
105.686,72.514
106.365,71.838
107.142,71.289
108.005,70.876
108.941,70.611
109.937,70.502
110.960,70.557
111.917,70.767
112.794,71.125
113.581,71.625
114.265,72.259
114.837,73.020
115.286,73.901
115.601,74.895
115.771,75.995
115.659,77.077
114.949,77.500
113.946,77.500
112.943,77.500
111.940,77.500
110.937,77.500
109.935,77.500
108.932,77.500
107.929,77.500
106.926,77.500
107.577,75.100
108.579,75.100
109.582,75.100
110.585,75.100
111.588,75.100
112.591,75.100
113.017,74.652
112.579,73.830
111.841,73.184
110.877,72.789
109.776,72.714
108.773,72.956
107.939,73.465
107.304,74.195
106.900,75.100
128.500,82.800
127.494,82.800
126.488,82.800
125.994,82.113
125.401,82.067
124.579,82.581
123.622,82.930
122.590,83.092
121.558,83.058
120.574,82.867
119.652,82.530
118.806,82.057
118.049,81.457
117.396,80.740
116.861,79.915
116.457,78.992
116.199,77.981
116.101,76.891
116.172,75.789
116.406,74.764
116.787,73.827
117.302,72.985
117.937,72.250
118.678,71.631
119.511,71.137
120.422,70.777
121.396,70.562
122.591,70.501
124.321,70.618
125.050,70.908
125.363,71.353
125.886,71.813
126.179,70.870
127.133,70.800
128.139,70.800
128.500,71.445
128.500,72.451
128.500,73.457
128.500,74.462
128.500,75.468
128.500,76.474
128.500,77.480
128.500,78.486
128.500,79.492
128.500,80.498
128.500,81.504
128.500,82.510
121.822,72.837
120.819,73.105
119.989,73.604
119.344,74.297
118.893,75.148
118.646,76.122
118.613,77.173
118.786,78.172
119.159,79.061
119.731,79.803
120.498,80.363
121.459,80.706
122.606,80.796
123.692,80.612
124.573,80.184
125.252,79.546
125.731,78.736
126.013,77.791
126.100,76.746
125.969,75.699
125.615,74.756
125.059,73.957
124.324,73.340
123.430,72.941
122.400,72.800
130.500,70.700
131.509,70.700
132.519,70.700
132.964,71.409
133.416,71.860
134.218,71.124
135.093,70.672
136.007,70.501
137.058,70.586
137.400,71.343
137.400,72.352
137.139,73.100
136.129,73.100
135.112,73.212
134.215,73.655
133.533,74.370
133.152,75.287
133.100,76.304
133.100,77.314
133.100,78.323
133.100,79.332
133.100,80.342
133.100,81.351
133.100,82.360
132.530,82.800
131.521,82.800
130.512,82.800
130.500,81.802
130.500,80.793
130.500,79.784
130.500,78.775
130.500,77.765
130.500,76.756
130.500,75.747
130.500,74.737
130.500,73.728
130.500,72.719
130.500,71.709
130.500,70.700
153.500,71.700
154.199,71.070
155.128,70.632
156.144,70.417
157.242,70.445
158.270,70.685
159.138,71.117
159.842,71.723
160.372,72.486
160.723,73.388
160.888,74.412
160.900,75.450
160.900,76.455
160.900,77.460
160.900,78.465
160.900,79.470
160.900,80.475
160.900,81.480
160.900,82.486
160.209,82.800
159.204,82.800
158.300,82.699
158.300,81.694
158.300,80.689
158.300,79.684
158.300,78.679
158.300,77.674
158.300,76.668
158.300,75.663
158.263,74.571
157.920,73.619
157.249,73.024
156.291,72.801
155.348,72.959
154.475,73.450
153.790,74.205
153.427,75.153
153.400,76.170
153.400,77.175
153.400,78.180
153.400,79.185
153.400,80.191
153.400,81.196
153.400,82.201
152.994,82.800
151.989,82.800
150.984,82.800
150.800,81.979
150.800,80.974
150.800,79.969
150.800,78.964
150.800,77.958
150.800,76.953
150.800,75.948
150.795,74.905
150.552,73.853
149.970,73.155
149.089,72.826
148.111,72.877
147.209,73.281
146.458,73.968
145.990,74.869
145.900,75.885
145.900,76.890
145.900,77.895
145.900,78.901
145.900,79.906
145.900,80.911
145.900,81.916
145.779,82.800
144.774,82.800
143.769,82.800
143.300,82.264
143.300,81.259
143.300,80.253
143.300,79.248
143.300,78.243
143.300,77.238
143.300,76.233
143.300,75.228
143.300,74.223
143.300,73.218
143.300,72.213
143.300,71.207
143.798,70.700
144.803,70.700
145.660,70.899
146.046,71.739
146.710,71.084
147.640,70.622
148.650,70.410
149.763,70.460
150.783,70.721
151.636,71.173
152.322,71.799
152.857,72.424
153.500,71.700
168.200,70.400
169.190,70.478
170.144,70.707
171.047,71.077
171.881,71.578
172.629,72.202
173.275,72.939
173.801,73.780
174.192,74.716
174.430,75.736
174.499,76.831
174.389,77.911
174.113,78.912
173.689,79.826
173.133,80.643
172.462,81.355
171.692,81.951
170.841,82.422
169.924,82.760
168.960,82.954
167.965,82.996
166.982,82.881
166.039,82.619
165.151,82.217
164.336,81.686
163.610,81.034
162.990,80.272
162.494,79.408
162.138,78.452
161.938,77.413
161.911,76.309
162.062,75.247
162.373,74.265
162.830,73.373
163.415,72.580
164.111,71.895
164.901,71.327
165.769,70.886
166.698,70.582
167.672,70.422
168.733,80.669
169.736,80.408
170.556,79.912
171.186,79.218
171.621,78.363
171.856,77.384
171.887,76.324
171.712,75.315
171.335,74.419
170.762,73.674
169.998,73.116
169.049,72.782
167.929,72.708
166.883,72.908
166.020,73.352
165.345,74.003
164.864,74.823
164.581,75.777
164.501,76.826
164.629,77.857
164.959,78.783
165.486,79.566
166.206,80.172
167.112,80.562
168.200,80.700
174.100,70.700
175.118,70.700
176.135,70.700
176.400,69.947
176.400,68.930
176.514,67.951
177.135,67.145
177.755,66.338
178.376,65.532
178.900,65.977
178.900,66.995
178.900,68.013
178.900,69.030
178.900,70.048
179.365,70.600
180.383,70.600
181.400,70.600
181.500,71.518
181.500,72.535
180.847,72.900
179.830,72.900
178.900,72.988
178.900,74.005
178.900,75.023
178.900,76.040
178.900,77.058
178.900,78.075
178.900,79.093
179.231,80.031
180.142,80.399
181.148,80.210
181.700,80.554
181.700,81.572
181.515,82.440
180.520,82.653
179.352,82.635
178.316,82.368
177.488,81.900
176.874,81.240
176.478,80.397
176.307,79.378
176.300,78.334
176.300,77.316
176.300,76.299
176.300,75.281
176.300,74.264
176.300,73.246
175.629,72.900
174.611,72.900
174.000,72.494
174.000,71.476
174.100,70.700
183.100,65.600
184.126,65.600
185.151,65.600
185.700,66.077
185.700,67.103
185.700,68.128
184.946,68.400
183.921,68.400
183.100,68.195
183.100,67.169
183.100,66.144
183.582,70.700
184.608,70.700
185.600,70.733
185.600,71.759
185.600,72.785
185.600,73.810
185.600,74.836
185.600,75.862
185.600,76.887
185.600,77.913
185.600,78.938
185.600,79.964
185.600,80.990
185.600,82.015
185.359,82.800
184.333,82.800
183.308,82.800
183.100,81.982
183.100,80.956
183.100,79.931
183.100,78.905
183.100,77.879
183.100,76.854
183.100,75.828
183.100,74.803
183.100,73.777
183.100,72.751
183.100,71.726
183.100,70.700
193.300,70.400
194.290,70.478
195.244,70.707
196.147,71.077
196.981,71.578
197.729,72.202
198.375,72.939
198.901,73.780
199.292,74.716
199.530,75.736
199.599,76.831
199.489,77.911
199.213,78.912
198.789,79.826
198.233,80.643
197.562,81.355
196.792,81.951
195.941,82.422
195.024,82.760
194.060,82.954
193.065,82.996
192.082,82.881
191.139,82.619
190.251,82.217
189.436,81.686
188.710,81.034
188.090,80.272
187.594,79.408
187.238,78.452
187.038,77.413
187.011,76.309
187.162,75.247
187.473,74.265
187.930,73.373
188.515,72.580
189.211,71.895
190.001,71.327
190.869,70.886
191.798,70.582
192.772,70.422
193.833,80.669
194.836,80.408
195.656,79.912
196.286,79.218
196.721,78.363
196.956,77.384
196.987,76.324
196.812,75.315
196.435,74.419
195.862,73.674
195.098,73.116
194.149,72.782
193.029,72.708
191.983,72.908
191.120,73.352
190.445,74.003
189.964,74.823
189.681,75.777
189.601,76.826
189.729,77.857
190.059,78.783
190.586,79.566
191.306,80.172
192.212,80.562
193.300,80.700
200.800,70.700
201.814,70.700
202.828,70.700
203.313,71.411
203.866,71.370
204.699,70.802
205.708,70.471
206.763,70.410
207.862,70.574
208.822,70.927
209.635,71.451
210.294,72.126
210.793,72.934
211.126,73.857
211.286,74.877
211.300,75.916
211.300,76.930
211.300,77.944
211.300,78.958
211.300,79.972
211.300,80.986
211.300,82.000
211.086,82.800
210.072,82.800
209.057,82.800
208.700,82.143
208.700,81.129
208.700,80.115
208.700,79.101
208.700,78.087
208.700,77.073
208.700,76.059
208.690,75.014
208.454,74.020
207.911,73.281
207.070,72.830
205.949,72.703
204.893,72.932
204.075,73.475
203.533,74.262
203.305,75.227
203.300,76.245
203.300,77.259
203.300,78.273
203.300,79.287
203.300,80.302
203.300,81.316
203.300,82.330
202.656,82.700
201.642,82.700
200.700,82.628
200.700,81.614
200.700,80.600
200.700,79.586
200.700,78.571
200.700,77.557
200.700,76.543
